Type,Name,Website,Address
restaurant,Blue Nile,Not Provided," Northwestern Avenue, West Lafayette, Tippecanoe County, Indiana, 47906, United States"
restaurant,Mad Mushroom Pizza,Not Provided," 320, West State Street, West Lafayette, Tippecanoe County, Indiana, 46906, United States"
fast_food,Taco Bell,Not Provided," South Chauncey Avenue, West Lafayette, Tippecanoe County, Indiana, 47906, United States"
fast_food,Potbelly,Not Provided," Northwestern Avenue, West Lafayette, Tippecanoe County, Indiana, 47906, United States"
ice_cream,Silver Dipper,Not Provided," East State Street, West Lafayette, Tippecanoe County, Indiana, 46906, United States"
cafe,Starbucks,Not Provided," East State Street, West Lafayette, Tippecanoe County, Indiana, 46906, United States"
fast_food,Panera Bread,Not Provided," East State Street, West Lafayette, Tippecanoe County, Indiana, 47902, United States"
cafe,BOHE,Not Provided," 124, South River Road, West Lafayette, Tippecanoe County, Indiana, 47906, United States"
restaurant,El Ranchero,Not Provided," South Liberty Drive, Bloomington, Monroe County, Indiana, 47403, United States"
fast_food,McDonald's,Not Provided," East State Road 18, Dooville, Marion, Grant County, Indiana, United States"
restaurant,Red Robin,Not Provided," 14599, Clay Terrace Boulevard, Clay Terrace, Carmel, Hamilton County, Indiana, 46032, United States"
restaurant,Not Provided,Not Provided," Clay Terrace Boulevard, Clay Terrace, Carmel, Hamilton County, Indiana, 46032, United States"
fast_food,McDonald's,www.mcdonalds.com," West Oak Street, Zionsville, Boone County, Indiana, 46077, United States"
restaurant,Big Hoffa's Smokehouse Bar-B-Que,http://www.bighoffas.com," 800, East Main Street, Westfield, Hamilton County, Indiana, 46074, United States"
fast_food,Subway,Not Provided," Houston Avenue, Connersville, Fayette County, Indiana, 47331, United States"
fast_food,Wendy's,Not Provided," SR 63, Vermillion County, Indiana, 47932, United States"
restaurant,Applebee's,Not Provided," South Washington Street, Crawfordsville, Montgomery County, Indiana, 47933, United States"
cafe,Starbucks,Not Provided," South Washington Street, Crawfordsville, Montgomery County, Indiana, 47933, United States"
fast_food,McDonald's,Not Provided," South Washington Street, Crawfordsville, Montgomery County, Indiana, 47933, United States"
fast_food,Arby's,Not Provided," Dry Branch Road, Crawfordsville, Montgomery County, Indiana, 47933, United States"
fast_food,Burger King,Not Provided," South Washington Street, Crawfordsville, Montgomery County, Indiana, 47933, United States"
cafe,Gramz Bakey and Cafe,www.gramzbakery.com/," 409, Washington Street, Columbus, Bartholomew County, Indiana, 47201, United States"
fast_food,Long John Silver's,Not Provided," South Indiana Street, Mooresville, Morgan County, Indiana, 46158, United States"
